episode,algorithm,mode,total_reward,steps,is_best,best_reward_so_far,best_steps_so_far
75,q_learning,train,7.699999999999999,45,0,96.2999999999999,300
76,q_learning,train,-14.899999999999991,205,0,96.2999999999999,300
77,q_learning,train,-47.100000000000016,174,0,96.2999999999999,300
78,q_learning,train,2.6000000000000147,94,0,96.2999999999999,300
79,q_learning,train,-4.0,28,0,96.2999999999999,300
80,q_learning,train,-20.99999999999999,80,0,96.2999999999999,300
81,q_learning,train,-10.200000000000003,56,0,96.2999999999999,300
82,q_learning,train,-30.59999999999997,235,0,96.2999999999999,300
83,q_learning,train,-0.6000000000000014,47,0,96.2999999999999,300
84,q_learning,train,-10.700000000000003,86,0,96.2999999999999,300
85,q_learning,train,-2.400000000000004,91,0,96.2999999999999,300
86,q_learning,train,8.899999999999997,105,0,96.2999999999999,300
87,q_learning,train,5.400000000000045,132,0,96.2999999999999,300
88,q_learning,train,-16.000000000000007,74,0,96.2999999999999,300
89,q_learning,train,-14.499999999999993,97,0,96.2999999999999,300
90,q_learning,train,-48.90000000000011,212,0,96.2999999999999,300
91,q_learning,train,-2.5,21,0,96.2999999999999,300
92,q_learning,train,-3.599999999999966,300,0,96.2999999999999,300
93,q_learning,train,3.0000000000000497,217,0,96.2999999999999,300
94,q_learning,train,-0.49999999999998934,95,0,96.2999999999999,300
95,q_learning,train,-45.20000000000006,220,0,96.2999999999999,300
96,q_learning,train,-24.49999999999998,162,0,96.2999999999999,300
97,q_learning,train,114.69999999999996,300,1,114.69999999999996,300
98,q_learning,train,-3.7999999999999248,300,0,114.69999999999996,300
99,q_learning,train,6.0,50,0,114.69999999999996,300
100,q_learning,train,-42.299999999999976,297,0,114.69999999999996,300
101,q_learning,train,-12.7,77,0,114.69999999999996,300
102,q_learning,train,-26.999999999999982,127,0,114.69999999999996,300
103,q_learning,train,11.300000000000022,144,0,114.69999999999996,300
104,q_learning,train,-2.0,27,0,114.69999999999996,300
105,q_learning,train,7.400000000000048,208,0,114.69999999999996,300
106,q_learning,train,24.700000000000017,244,0,114.69999999999996,300
107,q_learning,train,-15.399999999999972,157,0,114.69999999999996,300
108,q_learning,train,-3.5,23,0,114.69999999999996,300
109,q_learning,train,-2.5,23,0,114.69999999999996,300
110,q_learning,train,-10.900000000000004,58,0,114.69999999999996,300
111,q_learning,train,3.2000000000000135,92,0,114.69999999999996,300
112,q_learning,train,-15.300000000000004,62,0,114.69999999999996,300
113,q_learning,train,-15.100000000000001,58,0,114.69999999999996,300
114,q_learning,train,35.999999999999915,143,0,114.69999999999996,300
115,q_learning,train,32.099999999999966,184,0,114.69999999999996,300
116,q_learning,train,-43.70000000000006,287,0,114.69999999999996,300
117,q_learning,train,0.5,21,0,114.69999999999996,300
118,q_learning,train,-11.099999999999998,67,0,114.69999999999996,300
119,q_learning,train,13.000000000000028,110,0,114.69999999999996,300
120,q_learning,train,118.49999999999997,300,1,118.49999999999997,300
121,q_learning,train,5.0,45,0,118.49999999999997,300
122,q_learning,train,-4.79999999999999,156,0,118.49999999999997,300
123,q_learning,train,-50.80000000000022,249,0,118.49999999999997,300
124,q_learning,train,-7.0,21,0,118.49999999999997,300
125,q_learning,train,-0.40000000000000013,83,0,118.49999999999997,300
126,q_learning,train,-7.0,21,0,118.49999999999997,300
127,q_learning,train,-11.59999999999998,102,0,118.49999999999997,300
128,q_learning,train,-11.699999999999992,80,0,118.49999999999997,300
129,q_learning,train,-15.399999999999977,85,0,118.49999999999997,300
130,q_learning,train,-36.09999999999998,300,0,118.49999999999997,300
131,q_learning,train,-2.699999999999984,86,0,118.49999999999997,300
132,q_learning,train,-33.69999999999994,189,0,118.49999999999997,300
133,q_learning,train,-3.7999999999999936,78,0,118.49999999999997,300
134,q_learning,train,-4.600000000000001,50,0,118.49999999999997,300
135,q_learning,train,-2.5,27,0,118.49999999999997,300
136,q_learning,train,-14.899999999999952,180,0,118.49999999999997,300
137,q_learning,train,58.7,243,0,118.49999999999997,300
138,q_learning,train,104.49999999999994,300,0,118.49999999999997,300
139,q_learning,train,-10.100000000000001,42,0,118.49999999999997,300
140,q_learning,train,78.9999999999999,245,0,118.49999999999997,300
141,q_learning,train,76.1,193,0,118.49999999999997,300
142,q_learning,train,-16.19999999999995,300,0,118.49999999999997,300
143,q_learning,train,-20.39999999999999,69,0,118.49999999999997,300
144,q_learning,train,0.39999999999999947,25,0,118.49999999999997,300
145,q_learning,train,-21.0,21,0,118.49999999999997,300
146,q_learning,train,73.6,300,0,118.49999999999997,300
147,q_learning,train,-50.09999999999999,300,0,118.49999999999997,300
148,q_learning,train,-17.099999999999987,82,0,118.49999999999997,300
149,q_learning,train,-71.10000000000015,114,0,118.49999999999997,300
150,q_learning,train,-59.00000000000024,300,0,118.49999999999997,300
151,q_learning,train,-2.499999999999986,115,0,118.49999999999997,300
152,q_learning,train,-4.500000000000001,47,0,118.49999999999997,300
153,q_learning,train,7.100000000000019,109,0,118.49999999999997,300
154,q_learning,train,-18.099999999999987,105,0,118.49999999999997,300
155,q_learning,train,-10.100000000000005,59,0,118.49999999999997,300
156,q_learning,train,-2.0,15,0,118.49999999999997,300
157,q_learning,train,-16.899999999999974,61,0,118.49999999999997,300
158,q_learning,train,-4.0,31,0,118.49999999999997,300
159,q_learning,train,40.70000000000002,300,0,118.49999999999997,300
160,q_learning,train,-2.0999999999999837,117,0,118.49999999999997,300
161,q_learning,train,27.99999999999998,172,0,118.49999999999997,300
162,q_learning,train,1.0,22,0,118.49999999999997,300
163,q_learning,train,-13.800000000000006,130,0,118.49999999999997,300
164,q_learning,train,-51.6000000000002,300,0,118.49999999999997,300
165,q_learning,train,-44.49999999999997,227,0,118.49999999999997,300
166,q_learning,train,-17.19999999999999,60,0,118.49999999999997,300
167,q_learning,train,-5.600000000000003,62,0,118.49999999999997,300
168,q_learning,train,-13.599999999999977,82,0,118.49999999999997,300
169,q_learning,train,-11.0,21,0,118.49999999999997,300
170,q_learning,train,-12.699999999999996,82,0,118.49999999999997,300
171,q_learning,train,-38.500000000000085,123,0,118.49999999999997,300
172,q_learning,train,-9.0,13,0,118.49999999999997,300
173,q_learning,train,-14.400000000000004,44,0,118.49999999999997,300
174,q_learning,train,1.5,30,0,118.49999999999997,300
175,q_learning,train,-27.5,25,0,118.49999999999997,300
176,q_learning,train,-65.20000000000013,215,0,118.49999999999997,300
177,q_learning,train,-13.799999999999981,70,0,118.49999999999997,300
178,q_learning,train,-1.5000000000000018,56,0,118.49999999999997,300
179,q_learning,train,-7.0,25,0,118.49999999999997,300
180,q_learning,train,-5.600000000000001,76,0,118.49999999999997,300
181,q_learning,train,20.0,170,0,118.49999999999997,300
182,q_learning,train,18.40000000000002,300,0,118.49999999999997,300
183,q_learning,train,77.0,300,0,118.49999999999997,300
